Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,The Peck Slip School,02M343,"PK,0K,01,02,03,04,05",Elementary School,Margaret Siena,Gabriella Meiterman,Bill Gordh,Theater,,,2.0
,The Peck Slip School,02M343,"PK,0K,01,02,03,04,05",Elementary School,Margaret Siena,Gabriella Meiterman,Center for Architecture,Visual Arts,,,2.0
,The Peck Slip School,02M343,"PK,0K,01,02,03,04,05",Elementary School,Margaret Siena,Gabriella Meiterman,Gibney Dance,Dance,,,2.0
,The Peck Slip School,02M343,"PK,0K,01,02,03,04,05",Elementary School,Margaret Siena,Gabriella Meiterman,Jazz at Lincoln Center,Music,,,2.0
,The Peck Slip School,02M343,"PK,0K,01,02,03,04,05",Elementary School,Margaret Siena,Gabriella Meiterman,Third Street Music School,Music,,,2.0
,The River School,02M281,"PK,0K,01,02,03,04,SE",Elementary School,Jessica Orleans,Daria Hughes,Studio in a School Association,Visual Arts,,,2.0
,The Urban Assembly School for Emergency Management,02M135,"09,10,11,12,SE",High School,Rodolfo Elizondo,Surendra Rose Horn,Groundswell Community Mural Project,Visual Arts,,,2.0
,The Urban Assembly School for Emergency Management,02M135,"09,10,11,12,SE",High School,Rodolfo Elizondo,Surendra Rose Horn,Old Stone House,Music,,,2.0
,Union Square Academy for Health Sciences,02M533,"09,10,11,12,SE",High School,Bernardo Ascona,Rosemarie Bray,Battery Dance Company,Dance,,,2.0
,Union Square Academy for Health Sciences,02M533,"09,10,11,12,SE",High School,Bernardo Ascona,Rosemarie Bray,The Vineyard Theatre,Theater,,,2.0
,Unity Center for Urban Technologies,02M500,"09,10,11,12,SE",High School,Fausto De La Rosa,Wanda Rosado,Young Audiences New York,Music,,,2.0
,Urban Academy Laboratory High School,02M565,"09,10,11,12",High School,Adam Grumbach,Adam Grumbach,Manhattan Theatre Club,Creative Writing,,,2.0
,"Urban Assembly Academy of Government and Law, The",02M305,"09,10,11,12",High School,Alison Breedy,Melissa Siegel,None,,,,2.0
,Urban Assembly Gateway School for Technology,02M507,"09,10,11,12,SE",High School,Kristina Dvorakovskaya,Cheryl King,Acting Company,Theater,,,2.0
,Urban Assembly Gateway School for Technology,02M507,"09,10,11,12,SE",High School,Kristina Dvorakovskaya,Cheryl King,Broadway Playhouse,Theater,,,2.0
,Urban Assembly Gateway School for Technology,02M507,"09,10,11,12,SE",High School,Kristina Dvorakovskaya,Cheryl King,Brooklyn Academy of Music,Other,,,2.0
,Urban Assembly Gateway School for Technology,02M507,"09,10,11,12,SE",High School,Kristina Dvorakovskaya,Cheryl King,Hamilton,Theater,,,2.0
,Urban Assembly Gateway School for Technology,02M507,"09,10,11,12,SE",High School,Kristina Dvorakovskaya,Cheryl King,"Metropolitan Museum of Art, The",Visual Arts,--,--,2.0
,Urban Assembly Gateway School for Technology,02M507,"09,10,11,12,SE",High School,Kristina Dvorakovskaya,Cheryl King,Project Arts,Visual Arts,--,--,2.0
,Urban Assembly Maker Academy,02M282,"09,10,11,12,SE",High School,Luke Bauer,Madelaine Hackett,Creative Connections,Other,,,2.0
,Urban Assembly New York Harbor School,02M551,"09,10,11,12,SE",High School,Jeffrey Chetirko,Jennifer Primosch,None,,,,2.0
,"Urban Assembly School of Business for Young Women, the",02M316,"09,10,11,12,SE",High School,Patricia Minaya,Amy Gladstone,CASA/South Street Seaoport,Visual Arts,,,2.0
,"Urban Assembly School of Design and Construction, The",02M300,"09,10,11,12,SE",High School,Matthew Willoughby,Charles Kushla,Beam Center,Other,,,2.0
,"Urban Assembly School of Design and Construction, The",02M300,"09,10,11,12,SE",High School,Matthew Willoughby,Charles Kushla,Center for Architecture,Visual Arts,,,2.0
,Vanguard High School,02M449,"09,10,11,12,SE",High School,William Klann,Zhenya Plechkina,Lincoln Center for the Performing Arts,Theater,,,2.0
,Vanguard High School,02M449,"09,10,11,12,SE",High School,William Klann,Zhenya Plechkina,Stella Adler Studio of Acting - Outreach Division,Theater,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,92nd Street YMCA,Music,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,92nd Street YMCA,Film/Media,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,92nd Street YMCA,Visual Arts,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,Brooklyn Botanical Gardens,Other,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,Carnegie Hall Corporation,Music,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,Cooper Hewitt Museum,Visual Arts,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,Museum of Modern Art,Visual Arts,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,Museum of the City of New York,Visual Arts,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,New-York Historical Society,Other,,,2.0
,Yorkville Community School,02M151,"PK,0K,01,02,03,04,05,SE",Elementary School,Samantha Kaplan,Samantha Kaplan,New-York Historical Society,Other,,,2.0
,Yorkville East Middle School,02M177,"06,07,08,SE",Middle School,Christina Riggio,Rebecca Hyne,Marquis Studio,Music,,,2.0
,Beacon High School,03M479,"09,10,11,12,SE",High School,Ruth Lacey,Bridget Malloy,Whitney Museum of American Art,Visual Arts,,,
,Community Action School - MS 258,03M258,"06,07,08,SE",Middle School,Andrew Sullivan,Jill Sinnott,Urban Arts Partnership,Music,,,
,Community Action School - MS 258,03M258,"06,07,08,SE",Middle School,Andrew Sullivan,Jill Sinnott,Urban Arts Partnership,Film/Media,,,
,Edward A. Reynolds West Side High School,03M505,"09,10,11,12,SE",High School,Lilit Suffet,Jeremy Harper,"Norman Rockwell Museum in Stockbridge, Massachusetts",,,,
,Edward A. Reynolds West Side High School,03M505,"09,10,11,12,SE",High School,Lilit Suffet,Jeremy Harper,Gilder Lehrman Institute of American History,,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,Alvin Ailey Dance Foundation,Dance,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,American Ballet Theatre,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,American Composers Orchestra,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,American Composers Orchestra,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,American Composers Orchestra,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,American Composers Orchestra,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,Arts Connection,Visual Arts,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,Carnegie Hall Corporation,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,J&F Dance,Dance,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,"Juilliard School, The",Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,Lincoln Center for the Performing Arts,Theater,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,Lincoln Center Theatre,Theater,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,Martha Graham School of Contemporary Dance,Dance,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,"Metropolitan Opera Guild, The",Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,National Chorale,Music,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,New York Philharmonic,Visual Arts,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,New York Theater Workshop,Theater,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,New-York Historical Society,Visual Arts,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,School of Visual Arts,Visual Arts,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,"09,10,11,12",High School,Lisa Mars,Heather O'Connell,"Town Hall Foundation, The",Other,,,
,Frank Mccourt High School,03M417,"09,10,11,12,SE",High School,Danielle Salzberg,Emily Holder,92nd Street YMCA,Dance,,,
,Frank Mccourt High School,03M417,"09,10,11,12,SE",High School,Danielle Salzberg,Emily Holder,Learning through an Expanded Arts Program,Music,,,
,Frank Mccourt High School,03M417,"09,10,11,12,SE",High School,Danielle Salzberg,Emily Holder,Learning through an Expanded Arts Program,Music,,,
,Frank Mccourt High School,03M417,"09,10,11,12,SE",High School,Danielle Salzberg,Emily Holder,Museum of Modern Art,Visual Arts,,,
,Frederick Douglass Academy II Secondary School,03M860,"06,07,08,09,10,11,12,SE",Middle and High School,Osei Owusu Afriyie,Koranteng Ofosu,Educational Video Center,Film/Media,,,
,Frederick Douglass Academy II Secondary School,03M860,"06,07,08,09,10,11,12,SE",Middle and High School,Osei Owusu Afriyie,Koranteng Ofosu,Gilder Lehrman,Theater,,,
,Frederick Douglass Academy II Secondary School,03M860,"06,07,08,09,10,11,12,SE",Middle and High School,Osei Owusu Afriyie,Koranteng Ofosu,Kids Creative,Theater,,,
,Frederick Douglass Academy II Secondary School,03M860,"06,07,08,09,10,11,12,SE",Middle and High School,Osei Owusu Afriyie,Koranteng Ofosu,Lincoln Center for the Performing Arts,Theater,,,
,Frederick Douglass Academy II Secondary School,03M860,"06,07,08,09,10,11,12,SE",Middle and High School,Osei Owusu Afriyie,Koranteng Ofosu,"Teacher College, Columbia",Other,,,
,"High School for Law, Advocacy and Community Justice",03M492,"09,10,11,12,SE",High School,Doreen Conwell,Tamar Muscolino,None,,,,
,High School of Arts and Technology,03M494,"09,10,11,12,SE",High school,Mariela Graham,N/A,"Leadership Project, The",Film/Media,,,
,Innovation Diploma Plus,03M404,"10,11,12",High School,Daniel Storchan,Sean Turner,The Media Spot,Film/Media,,,
,J.H.S. 054 Booker T. Washington,03M054,"06,07,08,SE",Middle School,Elana Elster,Elana Elster,Classic Stage Company,--,,--,
,Lafayette Academy,03M256,"06,07,08,SE",Middle School,Brian Zager,Marde Mcbreen,Ping Chong,Theater,,,
,M.S. 243 Center School,03M243,"05,06,07,08,SE",Middle School,Elaine Schwartz,Suzanne Bellavance,Museum of Natural History,--,,,
,M.S. 250 West Side Collaborative Middle School,03M250,"06,07,08,SE",Middle School,Novella Bailey,Erin Fitzgerald,None,,,,
,M.S. M245 The Computer School,03M245,"06,07,08,SE",Middle School,Henry Zymeck,Henry Zymeck,Ballroom Basix,Dance,--,--,
,M.S. M247 Dual Language Middle School,03M247,"06,07,08,SE",Middle School,Kristina Jelinek,Paloma Ferreyros,Alvin Ailey Dance Foundation,Dance,,,
,M.S. M247 Dual Language Middle School,03M247,"06,07,08,SE",Middle School,Kristina Jelinek,Paloma Ferreyros,Ballroom Basix,Dance,,,
,M.S. M247 Dual Language Middle School,03M247,"06,07,08,SE",Middle School,Kristina Jelinek,Paloma Ferreyros,Chinese Cultural Center,Dance,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,Guggenheim Museum,Visual Arts,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,Hunter Gallery East,Visual Arts,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,Hunter Gallery East,Visual Arts,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,No Longer Empty Gallery Space,Visual Arts,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,Queens Museum of Art,Visual Arts,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,Wallworks Gallery,Visual Arts,,,
,Manhattan / Hunter Science High School,03M541,"09,10,11,12,SE",High school,Kevin Froner,Pamela Wilks,Wallworks Gallery,Visual Arts,,,
,Mott Hall II,03M862,"06,07,08,SE",Middle School,Marlon Lowe,Marlon Lowe,Music and the Brain,Music,,,
,Mott Hall II,03M862,"06,07,08,SE",Middle School,Marlon Lowe,Marlon Lowe,"Society of the Educational Arts, Inc. (SEA)",Theater,,,
,Mott Hall II,03M862,"06,07,08,SE",Middle School,Marlon Lowe,Marlon Lowe,Studio in a School Association,Visual Arts,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,Ballet Hispanico of New York,Dance,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,Carnegie Hall Corporation,Music,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,Circle in the Square Theatre School,Theater,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,"Metropolitan Museum of Art, The",Visual Arts,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,Midori Foundation dba Midori & Friends,Music,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,Museum of Natural History,Visual Arts,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,New-York Historical Society,Visual Arts,,,
,P.S. 009 Sarah Anderson,03M009,"PK,0K,01,02,03,04,05,SE",Elementary School,Katherine Witzke,Meliss Caputi,Paper Bag Players,Theater,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Ballroom Dancing,Dance,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Ballroom Dancing,Dance,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Bloomingdale Music,Dance,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Carnegie Hall Corporation,Music,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Film Society of Lincoln Center,Film/Media,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,New Victory Theatre,Theater,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Studio in a School Association,Visual Arts,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Symphony Space,Visual Arts,,,
,P.S. 075 Emily Dickinson,03M075,"0K,01,02,03,04,05,SE",Elementary School,Robert Obrien,Ravonda Oden,Young People's Chorus of New York City,Music,,,
,P.S. 076 A. Philip Randolph,03M076,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Charles Deberry,Charles Deberry,Ballet Tech Foundation,Dance,,,
,P.S. 076 A. Philip Randolph,03M076,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Charles Deberry,Charles Deberry,Ballroom Basix,Dance,,,
,P.S. 084 Lillian Weber,03M084,"PK,0K,01,02,03,04,05,SE",Elementary School,"Evelyn J. Lolis, Ed.D.",Tova Schwartz,92nd Street YMCA,Music,,,
,P.S. 084 Lillian Weber,03M084,"PK,0K,01,02,03,04,05,SE",Elementary School,"Evelyn J. Lolis, Ed.D.",Tova Schwartz,American Classical Orchestra,Music,,,
,P.S. 084 Lillian Weber,03M084,"PK,0K,01,02,03,04,05,SE",Elementary School,"Evelyn J. Lolis, Ed.D.",Tova Schwartz,"Juilliard School, The",Music,,,
,P.S. 084 Lillian Weber,03M084,"PK,0K,01,02,03,04,05,SE",Elementary School,"Evelyn J. Lolis, Ed.D.",Tova Schwartz,Magic Box Productions,Film/Media,,,
,P.S. 084 Lillian Weber,03M084,"PK,0K,01,02,03,04,05,SE",Elementary School,"Evelyn J. Lolis, Ed.D.",Tova Schwartz,Neighborhood Music & Arts,Dance,,,
,P.S. 084 Lillian Weber,03M084,"PK,0K,01,02,03,04,05,SE",Elementary School,"Evelyn J. Lolis, Ed.D.",Tova Schwartz,New York City Center,Dance,,,
,P.S. 087 William Sherman,03M087,"PK,0K,01,02,03,04,05,SE",Elementary School,Monica Berry,Lucy Formato,Ballet Hispanico of New York,Dance,,,
,P.S. 087 William Sherman,03M087,"PK,0K,01,02,03,04,05,SE",Elementary School,Monica Berry,Lucy Formato,Dancing Classroom American Ballroom,Dance,,,
,P.S. 087 William Sherman,03M087,"PK,0K,01,02,03,04,05,SE",Elementary School,Monica Berry,Lucy Formato,Lincoln Center Education,Music,,,
,P.S. 087 William Sherman,03M087,"PK,0K,01,02,03,04,05,SE",Elementary School,Monica Berry,Lucy Formato,National Dance Institute,Dance,,,
,P.S. 087 William Sherman,03M087,"PK,0K,01,02,03,04,05,SE",Elementary School,Monica Berry,Lucy Formato,New York Chinese Cultural Center,Dance,,,
,"P.S. 145, The Bloomingdale School",03M145,"PK,0K,01,02,03,04,05,SE",Elementary School,Dr. Natalia Russo,Loushonda Mack,Studio in a School Association,Visual Arts,,,
,P.S. 149 Sojourner Truth,03M149,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claudia Aguirre,Kristin Miller,Alvin Ailey Dance Foundation,Dance,,,
,P.S. 149 Sojourner Truth,03M149,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claudia Aguirre,Kristin Miller,Young People's Chorus of New York City,Music,,,
,P.S. 163 Alfred E. Smith,03M163,"PK,0K,01,02,03,04,05,SE",Elementary School,Donny Lopez,Jee Kim,Lincoln Center Film Society,Film/Media,,,
,P.S. 163 Alfred E. Smith,03M163,"PK,0K,01,02,03,04,05,SE",Elementary School,Donny Lopez,Jee Kim,National Dance Institute,Dance,,,
,P.S. 163 Alfred E. Smith,03M163,"PK,0K,01,02,03,04,05,SE",Elementary School,Donny Lopez,Jee Kim,Young Audiences New York,Dance,,,
,P.S. 165 Robert E. Simon,03M165,"PK,0K,01,02,03,04,05,06,07,08,SE",Elmentary and Middle School,Aracelis Castellano-Folk,Tyson Strang,Philharmonic Symphony Society of New York,Music,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Alvin Ailey Dance Foundation,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,American Museum of Natural History,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Apollo Theater,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Apple Store,Film/Media,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Ballet Tech Foundation,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,BARD Graduate Study Center,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Bronx Zoo,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Brooklyn Botanical Gardens,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Center for Architecture,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Central Park Zoo,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Children's Museum of Manhattan,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Children's Museum of the Arts,Film/Media,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Galli Theatre,Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Guggenheim Museum,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,"Jewish Museum, The",Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Lehman College Theater,Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Linda Lawrence,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Math Museum,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,"Metropolitan Opera Guild, The",Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Museum of Arts & Design,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Museum of Modern Art,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Museum of the City of New York,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Museum of the City of New York,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,New York City Center,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,New York Transit Museum,Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,New-York Historical Society,Other,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Paul Taylor's American Modern Dance Theatre,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Rubin Museum of Art,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Salvadori Center,Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Swedish Cottage,Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Symphony Space,Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,"The Drawing Center, The",Visual Arts,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,"Town Hall Foundation, The",Theater,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Tribeca Performing Arts Center,Dance,,,
,P.S. 166 The Richard Rodgers School of The Arts and Technology,03M166,"0K,01,02,03,04,05,SE",Elementary School,Debra Mastriano,Rachelle King,Whitney Museum of American Art,Visual Arts,,,
,P.S. 180 Hugo Newman,03M180,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Jeneca Parker,Lamesha Self,Ballet Hispanico of New York,Dance,,,
,The Locke School of Arts and Engineering (Previously known as P.S. 185 - The Early Childhood Discovery and Design Magnet School),03M185,"PK,0K,01,02,SE",Elementary School,Jane Murphy,Jane Murphy,Magic Box Productions,Film/Media,,,
,The Locke School of Arts and Engineering (Previously known as P.S. 185 - The Early Childhood Discovery and Design Magnet School),03M185,"PK,0K,01,02,03,04,05",Elementary School,Jane Murphy,Jane Murphy,Marquis Studios,Visual Arts,,,
,The Locke School of Arts and Engineering (Previously known as P.S. 185 - The Early Childhood Discovery and Design Magnet School),03M185,"PK,0K,01,02,SE",Elementary School,Jane Murphy,Jane Murphy,New York City Children's Theater,Theater,,,
,The Locke School of Arts and Engineering (Previously known as P.S. 185 - The Early Childhood Discovery and Design Magnet School),03M185,"PK,0K,01,02,SE",Elementary School,Jane Murphy,Jane Murphy,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,
